번호,MANAGEMENT_NUMBER,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,SUB_ZIPCODE,SUB_ADDRESS,ADDRESS,ZIP_CODE,NAME,데이터갱신일자,LONGITUDE,LATITUDE
8,345000001019930001,3,폐업,0002,폐업,,대구광역시 북구 대현동 270-13  번지,,,세진동물병원,2018-08-31 23:59:59.0,,
10,345000001020020001,3,폐업,0002,폐업,,대구광역시 북구 읍내동 443-3번지,,,강북동물병원약품,2018-08-31 23:59:59.0,,
13,345000001019810003,3,폐업,0002,폐업,,대구광역시 북구 노원동3가 772-2   번지,,,천일동물병원,2018-08-31 23:59:59.0,,
23,541000001019950001,3,폐업,0002,폐업,,경상남도 창녕군 창녕읍 술정리 171-1번지,,,황영균동물병원,2018-08-31 23:59:59.0,128.49376965360082,35.53708634401397
27,542000001020030003,3,폐업,0002,폐업,,경상남도 고성군 고성읍 서외리 1-6번지 한솔메르빌 상가 나동109호,,,백호종합동물병원,2018-08-31 23:59:59.0,128.3201279361281,34.97713057306594
30,542000001020030005,3,폐업,0002,폐업,,경상남도 고성군 고성읍 송학리 125-3번지,,,동양가축약품병원,2018-08-31 23:59:59.0,128.33457784471406,34.981488666583225
33,461000001019890001,3,폐업,0002,폐업,,충청남도 예산군 예산읍 주교리 225-9번지,,,한일 동물병원,2018-08-31 23:59:59.0,,
34,461000001019940001,3,폐업,0002,폐업,,충청남도 예산군 예산읍 예산리 581-2번지,,,협동 동물병원,2018-08-31 23:59:59.0,,
35,461000001020010001,3,폐업,0002,폐업,,충청남도 예산군 고덕면 대천리 770-13번지,,,예당 동물병원,2018-08-31 23:59:59.0,,
36,461000001020030001,3,폐업,0002,폐업,,충청남도 예산군 고덕면 대천리 770-13번지,,,예당동물병원,2018-08-31 23:59:59.0,,
37,461000001020080001,3,폐업,0002,폐업,,충청남도 예산군 고덕면 대천리 770-13  번지,,,예당가축병원,2018-08-31 23:59:59.0,,
38,461000001020080002,3,폐업,0002,폐업,,충청남도 예산군 고덕면 대천리 770-13  번지,,,예당가축병원,2018-08-31 23:59:59.0,,
39,461000001020080003,3,폐업,0002,폐업,,충청남도 예산군 고덕면 대천리 770-13  번지,,,예당가축병원,2018-08-31 23:59:59.0,,
40,461000001020090001,3,폐업,0002,폐업,,충청남도 예산군 예산읍 주교리 225-9   번지,,,한일동물병원,2018-08-31 23:59:59.0,,
41,461000001020100001,3,폐업,0002,폐업,,충청남도 예산군 예산읍 주교리 279-5번지,,,대성인터내셔널동물병원,2018-08-31 23:59:59.0,126.82653683536617,36.68248844125946
42,449000001019990001,3,폐업,0002,폐업,,충청남도 천안시 동남구 쌍용동 1951번지,,,맑은,2018-08-31 23:59:59.0,,
43,449000001020000001,3,폐업,0002,폐업,,충청남도 천안시 동남구 병천면 병천리 209-2번지,,,아우내,2018-08-31 23:59:59.0,127.29580174952036,36.760355118312404
44,449000001020000003,3,폐업,0002,폐업,,충청남도 천안시 서북구 성환읍 성환리 449-742 번지,,,용,2018-08-31 23:59:59.0,,
45,449000001020010001,3,폐업,0002,폐업,,충청남도 천안시 동남구 쌍용동 198-1번지,,,늘푸른동물병원(신방점),2018-08-31 23:59:59.0,,
47,449000001020020003,3,폐업,0002,폐업,,충청남도 천안시 동남구 쌍용동 2030번지,,,가람,2018-08-31 23:59:59.0,,
50,449000001020020007,3,폐업,0002,폐업,,충청남도 천안시 서북구 성환읍 성환리 449-118 번지,,,성환,2018-08-31 23:59:59.0,,
52,449000001020030002,3,폐업,0002,폐업,,충청남도 천안시 동남구 쌍용동 695번지,,,쌍용동물병원,2018-08-31 23:59:59.0,,
54,449000001020040002,3,폐업,0002,폐업,,충청남도 천안시 서북구 부대동 139-11 번지,,,대원동물병원,2018-08-31 23:59:59.0,,
56,449000001020040005,3,폐업,0002,폐업,,충청남도 천안시 서북구 부대동 139-11 번지,,,대원동물병원,2018-08-31 23:59:59.0,,
60,461000001020150001,3,폐업,0002,폐업,,,충청남도 예산군 덕산면 수암산로 160,32406.0,LG동물병원,2018-08-31 23:59:59.0,,
67,449000001019760001,3,폐업,0002,폐업,,충청남도 천안시 서북구 성환읍 성환리 449-68번지,,,송,2018-08-31 23:59:59.0,127.12585056566517,36.91592255580925
68,449000001019800001,3,폐업,0002,폐업,,충청남도 천안시 동남구 영성동 118번지,,,천안,2018-08-31 23:59:59.0,,
72,566000001020090002,3,폐업,0002,폐업,,충청남도 천안시 서북구 성환읍 매주리 322번지,,,천성벳동물병원,2018-08-31 23:59:59.0,127.12509643058279,36.9120947841031
73,449000001019920002,3,폐업,0002,폐업,,충청남도 천안시 동남구 봉명동 39-21번지,,,정동물병원,2018-08-31 23:59:59.0,127.13675129089329,36.8046058881943
77,440000001020050001,3,폐업,0002,폐업,,충청북도 제천시 영천동 500번지,,,PETRIA 애견종합동물병원,2018-08-31 23:59:59.0,128.203252776233,37.13073750515107
79,440000001020090002,3,폐업,0002,폐업,,충청북도 제천시 강제동 684번지 이마트 3층,,,펫프렌즈동물병원 제천,2018-08-31 23:59:59.0,128.2200468663616,37.12341888785497
80,440000001020100001,3,폐업,0002,폐업,,충청북도 제천시 하소동 72-5   번지 (롯데마트 2층),,,쿨펫동물병원,2018-08-31 23:59:59.0,,
85,447000001020090001,3,폐업,0002,폐업,,충청북도 음성군 금왕읍 백야리 산 13번지,,,음성군 야생동물구조관리사업소,2018-08-31 23:59:59.0,,
89,447000001020110002,3,폐업,0002,폐업,,충청북도 음성군 금왕읍 백야리 산 13번지,,,충북야생동물센터,2018-08-31 23:59:59.0,,
90,440000001019800001,3,폐업,0002,폐업,,충청북도 제천시 화산동 193-14  번지,,,협신동물병원,2018-08-31 23:59:59.0,,
91,440000001019800002,3,폐업,0002,폐업,,충청북도 제천시 명동 11-9번지,,,한일동물병원,2018-08-31 23:59:59.0,128.20417052380287,37.13736568141541
93,440000001019960001,3,폐업,0002,폐업,,충청북도 제천시 청전동 13-8 번지,,,나라동물병원,2018-08-31 23:59:59.0,,
94,440000001019970001,3,폐업,0002,폐업,,충청북도 제천시 중앙로2가 81-9   번지,,,화랑동물병원,2018-08-31 23:59:59.0,,
96,307000001020010001,3,폐업,0002,폐업,,서울특별시 성북구 정릉동 1393-0   번지,,,북악동물병원,2018-08-31 23:59:59.0,,
97,307000001020010003,3,폐업,0002,폐업,,서울특별시 성북구 종암동 68-1   번지,,,청솔동물병원,2018-08-31 23:59:59.0,,
98,307000001020010005,3,폐업,0002,폐업,,서울특별시 성북구 길음동 525-175번지,,,펫케어동물병원,2018-08-31 23:59:59.0,127.02313035375111,37.60525176189761
103,311000001020000003,3,폐업,0002,폐업,,서울특별시 은평구 증산동 168-2   번지,,,신동물병원,2018-08-31 23:59:59.0,,
104,311000001020010002,3,폐업,0002,폐업,,서울특별시 은평구 대조동 231번지 삼성타운 101-122,,,유종합동물병원,2018-08-31 23:59:59.0,126.91883971607156,37.60902954579154
106,321000001019950002,3,폐업,0002,폐업,,서울특별시 서초구 반포동 747-12  번지,,,닥터은동물병원,2018-08-31 23:59:59.0,,
107,321000001020050003,3,폐업,0002,폐업,,"서울특별시 서초구 서초동 1336번지 서초우성쇼핑센타120호,121호",,,우성메디펫동물병원,2018-08-31 23:59:59.0,127.02554211803793,37.490202266522296
108,321000001020040007,3,폐업,0002,폐업,,서울특별시 서초구 잠원동 60-3번지 매일종합상가 223호,,,잠원동물병원,2018-08-31 23:59:59.0,127.00948593461926,37.5116536981798
110,314000001019940003,3,폐업,0002,폐업,,서울특별시 양천구 신월동 64-1   번지,,,강성동물병원,2018-08-31 23:59:59.0,,
112,314000001019950002,3,폐업,0002,폐업,,서울특별시 양천구 신정동 995-4   번지,,,상아동물병원,2018-08-31 23:59:59.0,,
113,321000001020100002,3,폐업,0002,폐업,,서울특별시 서초구 양재동 351-11 성원빌딩 1층,,,펫프렌즈동물병원양재,2018-08-31 23:59:59.0,,
116,314000001020080003,3,폐업,0002,폐업,,서울특별시 양천구 신월동 512-7   번지,,,킴스동물병원,2018-08-31 23:59:59.0,,
122,303000001020030016,3,폐업,0002,폐업,,서울특별시 성동구 응봉동 228-17  번지,,,내친구동물병원,2018-08-31 23:59:59.0,,
123,303000001020030017,3,폐업,0002,폐업,,서울특별시 성동구 성수동2가 333-16  번지 이마트 성수점 3층,,,아이러브 팻 동물병원,2018-08-31 23:59:59.0,,
127,303000001020040005,3,폐업,0002,폐업,,서울특별시 성동구 행당동 140번지 레몬프라자  116호,,,독스동물병원,2018-08-31 23:59:59.0,127.03266536927472,37.55825946690274
128,303000001020070001,3,폐업,0002,폐업,,서울특별시 성동구 성수동2가 300-69  번지,,,성동동물종합병원,2018-08-31 23:59:59.0,,
137,303000001020030010,3,폐업,0002,폐업,,서울특별시 성동구 행당동 346번지,,,성동동물병원,2018-08-31 23:59:59.0,127.02631735663064,37.555880450385224
138,303000001020030011,3,폐업,0002,폐업,,서울특별시 성동구 성수동2가 336-1   번지,,,퍼스트펫동물병원,2018-08-31 23:59:59.0,,
142,303000001020030015,3,폐업,0002,폐업,,서울특별시 성동구 마장동 791-2   번지,,,한사랑동물병원,2018-08-31 23:59:59.0,,
144,321000001020030008,3,폐업,0002,폐업,,서울특별시 서초구 반포동 1141번지 원빌딩 2층,,,펫스테이션 클리닉센터,2018-08-31 23:59:59.0,126.98423467216513,37.50174539419189
145,321000001020030009,3,폐업,0002,폐업,,서울특별시 서초구 반포동 733-14  번지,,,두코동물병원,2018-08-31 23:59:59.0,,
148,301000001020050001,3,폐업,0002,폐업,,서울특별시 중구 신당동 422-1   번지 청화빌딩 지하1층,,,행복한둥지동물병원,2018-08-31 23:59:59.0,,
150,306000001020030001,3,폐업,0002,폐업,,서울특별시 중랑구 망우동 490-7   번지,,,세진종합동물병원,2018-08-31 23:59:59.0,,
151,306000001020030003,3,폐업,0002,폐업,,서울특별시 중랑구 신내동 648-143 번지,,,비비펫동물병원,2018-08-31 23:59:59.0,,
154,314000001020010002,3,폐업,0002,폐업,,서울특별시 양천구 목동 905-22  번지 목동트윈빌딩(102호),,,황경택동물병원,2018-08-31 23:59:59.0,,
157,311000001020040001,3,폐업,0002,폐업,,서울특별시 은평구 대조동 187-38번지 (1층),,,패미원동물병원,2018-08-31 23:59:59.0,126.92045405957727,37.616406693447296
158,311000001020040002,3,폐업,0002,폐업,,서울특별시 은평구 갈현동 495-22  번지,,,에이스동물병원,2018-08-31 23:59:59.0,,
159,311000001020040003,3,폐업,0002,폐업,,서울특별시 은평구 응암동 96-19번지,,,해오름동물병원,2018-08-31 23:59:59.0,126.92309468787693,37.601037692961235
160,311000001020040005,3,폐업,0002,폐업,,서울특별시 은평구 녹번동 117-88번지,,,예스플러스 동물병원,2018-08-31 23:59:59.0,126.9290154922294,37.60778213702236
165,314000001019970001,3,폐업,0002,폐업,,서울특별시 양천구 목동 788-13  번지,,,애완동물병원,2018-08-31 23:59:59.0,,
166,311000001020040006,3,폐업,0002,폐업,,서울특별시 은평구 대조동 179-16번지,,,은평동물병원(은평본원),2018-08-31 23:59:59.0,126.91929577042376,37.607591057941086
